Objects
100
,,Global Angle rccar_car_01:rccar_car_01,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.00239372,0.0355958,-1.73683,-574.8,3747.93,191.434
2,0,-0.0024035,0.0388022,-1.73149,-575.572,3747.89,191.287
3,0,0.00122233,0.0375229,-1.73532,-575.074,3746.94,191.623
4,0,-0.0018559,0.0376216,-1.73271,-575.598,3747.36,191.59
5,0,-0.00201656,0.0375473,-1.73276,-575.519,3747.27,191.542
6,0,-0.00123802,0.0371337,-1.73195,-575.5,3748.09,191.275
7,0,0.000984387,0.0371188,-1.73642,-575.087,3746.6,191.957
8,0,0.00166664,0.0357506,-1.73661,-574.919,3747.59,191.59
9,0,0.00350811,0.033234,-1.7375,-574.941,3747.18,191.84
10,0,0.00125484,0.036282,-1.73654,-575.258,3745.54,192.38
11,0,0.00169196,0.0354669,-1.73695,-574.953,3746.98,191.806
12,0,0.00164978,0.0359998,-1.73573,-575.185,3746.22,192.093
13,0,0.00163872,0.0354751,-1.73699,-574.983,3746.99,191.855
14,0,-0.00260791,0.0381012,-1.73142,-575.373,3748.88,190.879
15,0,-0.00157863,0.0371957,-1.73221,-575.594,3747.6,191.469
16,0,0.00120055,0.0364062,-1.7358,-575.188,3746.34,192.049
17,0,0.00219384,0.0352399,-1.73681,-575.099,3746.11,192.008
18,0,0.00172579,0.0361191,-1.73705,-575.079,3746.61,191.945
19,0,-0.00252879,0.0367622,-1.73288,-575.348,3747.96,191.123
20,0,-9.41912e-005,0.0375821,-1.73511,-575.223,3746.37,192.018
21,0,0.00233578,0.0349726,-1.73752,-574.992,3746.8,191.941
22,0,-0.000977708,0.0363584,-1.73298,-575.458,3747.19,191.598
23,0,-0.00280786,0.0383177,-1.73199,-575.383,3748.32,191.158
24,0,0.00223868,0.0342325,-1.73683,-575.158,3745.8,192.113
25,0,0.000460691,0.0375515,-1.7357,-575.258,3746.05,192.017
26,0,0.00265988,0.0348416,-1.73689,-575.203,3746.16,192.113
27,0,0.00253777,0.034712,-1.73734,-575.189,3745.61,192.291
28,0,0.00221605,0.0346958,-1.73699,-575.201,3745.74,192.214
29,0,-0.000813662,0.0361147,-1.73295,-575.488,3747.64,191.432
30,0,-0.00131596,0.0389318,-1.73467,-574.871,3744.05,192.803
31,0,0.00196892,0.0350159,-1.73646,-575.209,3745.7,192.158
32,0,0.000257803,0.0370016,-1.73624,-574.985,3747.01,191.776
33,0,-0.00154441,0.0374127,-1.73236,-575.459,3747.74,191.345
34,0,-0.00234537,0.0380548,-1.73173,-575.508,3747.89,191.254
35,0,-0.00190612,0.0376742,-1.73129,-575.509,3747.94,191.201
36,0,0.00244714,0.0343911,-1.73689,-574.992,3747.3,191.671
37,0,-0.0023537,0.0385853,-1.73186,-575.548,3747.45,191.48
38,0,0.00171486,0.035205,-1.73654,-575.234,3745.99,192.149
39,0,-0.00230546,0.038242,-1.73171,-575.563,3747.89,191.43
40,0,0.00174895,0.0355925,-1.73651,-575.18,3745.83,192.202
41,0,0.00131975,0.0354357,-1.73654,-575.097,3746.15,192.032
42,0,0.00233477,0.0328656,-1.73775,-575.145,3745.7,192.389
43,0,-0.000632031,0.0292171,-1.74049,-574.75,3740.81,194.117
44,0,-0.00747023,0.0298777,-1.7378,-575.217,3739.9,194.395
45,0,-0.00460831,0.0258558,-1.74019,-575.711,3739.84,194.459
46,0,-0.00617402,0.0258001,-1.73885,-576.127,3738.35,194.787
47,0,-0.00508995,0.0233382,-1.73927,-576.333,3736.18,194.99
48,0,-0.0105736,0.0286548,-1.73899,-577.302,3733.43,195.496
49,0,-0.00815971,0.0314992,-1.73896,-577.407,3732.48,194.851
50,0,-0.0172836,0.0391409,-1.73349,-577.748,3724.66,196.501
51,0,-0.0166907,0.0350091,-1.73349,-577.553,3721.17,196.88
52,0,-0.0227866,0.0424057,-1.72481,-577.412,3722.96,195.347
53,0,-0.0166686,0.0358614,-1.72522,-578.464,3726.4,193.246
54,0,-0.0173449,0.0353449,-1.72621,-578.967,3722.02,193.582
55,0,-0.0219611,0.0394767,-1.72539,-578.99,3711.07,196.439
56,0,-0.0261598,0.0436702,-1.7252,-579.628,3708.31,196.074
57,0,-0.0218808,0.0359,-1.72678,-580.018,3704.28,196.014
58,0,-0.017308,0.0278487,-1.72828,-580.167,3698.87,196.865
59,0,-0.0266026,0.0373976,-1.72624,-580.983,3694.86,197.129
60,0,-0.0204569,0.034415,-1.72324,-582.262,3694.99,195.131
61,0,-0.0119911,0.0230184,-1.72379,-581.784,3694.35,193.63
62,0,-0.0159062,0.0278817,-1.72337,-583.224,3686.31,194.771
63,0,-0.0232604,0.0351979,-1.71974,-583.599,3679.55,195.622
64,0,-0.0231194,0.0339253,-1.72053,-584.26,3674.04,195.386
65,0,-0.0185516,0.0249649,-1.72356,-585.543,3669.43,195.662
66,0,-0.0175105,0.0235118,-1.72592,-585.634,3659.91,196.333
67,0,-0.021065,0.0305743,-1.71705,-586.616,3661.12,194.044
68,0,-0.0235781,0.0308389,-1.71601,-587.44,3654.29,194.632
69,0,-0.0263185,0.0326795,-1.71936,-587.207,3642.26,196.7
70,0,-0.025314,0.0341873,-1.71129,-588.612,3638.5,196.2
71,0,-0.0319848,0.0366892,-1.71624,-589.511,3629.82,197.087
72,0,-0.0234088,0.0329605,-1.71244,-590.589,3629.13,194.862
73,0,-0.0176632,0.0187839,-1.71707,-591.209,3623.91,193.623
74,0,-0.0259706,0.0315715,-1.71261,-592.19,3615.41,194.641
75
76,0,-0.0211023,0.0261267,-1.71611,-592.511,3598.3,196.075
77,0,-0.0165956,0.0215567,-1.70962,-594.204,3597.13,193.69
78,0,-0.0276715,0.0329465,-1.71024,-595.009,3588.5,194.739
79,0,-0.0264616,0.0333029,-1.70141,-596.216,3584.93,193.126
80,0,-0.0238595,0.0318095,-1.70657,-596.665,3574.75,194.619
81,0,-0.0244631,0.0309204,-1.70292,-597.462,3568.7,193.843
82,0,-0.022058,0.0261104,-1.69645,-599.117,3565.1,192.086
83,0,-0.022412,0.0288132,-1.7038,-599.453,3550.87,194.96
84
85,0,-0.0218258,0.0308426,-1.69532,-599.994,3538.26,193.946
86,0,-0.0256185,0.0285292,-1.69328,-602.083,3533.79,192.446
87,0,-0.0220097,0.0227536,-1.70117,-602.814,3521.02,194.316
88,0,-0.018847,0.0238766,-1.70367,-603.587,3512.64,194.905
89,0,-0.0207451,0.0362864,-1.69452,-604.801,3507.91,194.653
90,0,-0.0261817,0.0330453,-1.68925,-605.549,3500.19,193.111
91,0,-0.0179294,0.0244997,-1.70075,-605.479,3485.03,196.846
92
93
94,0,-0.019419,0.0224125,-1.69225,-607.948,3463.65,194.595
95,0,-0.0165213,0.0141373,-1.69825,-608.946,3450.78,196.598
96,0,-0.0245529,0.0270261,-1.68746,-611.088,3449.04,193.917
97,0,-0.0219812,0.022487,-1.68811,-611.375,3438.85,194.443
98,0,-0.0201988,0.02127,-1.69075,-611.317,3426.21,195.854
99,0,-0.0274448,0.028019,-1.68253,-613.476,3422.87,193.587
100,0,-0.0195099,0.0165196,-1.69221,-614.366,3409.32,195.162
101,0,-0.0149212,0.0178609,-1.68992,-614.697,3401.24,194.532
102,0,-0.0221775,0.0227885,-1.68481,-616.327,3390.73,194.832
103,0,-0.0242333,0.0243246,-1.68955,-617.049,3376.84,196.626
104,0,-0.0213753,0.0199399,-1.68582,-616.904,3368.2,195.846
105,0,-0.028793,0.031946,-1.67944,-618.568,3360.15,195.579
106,0,-0.0205451,0.0180697,-1.69296,-619.203,3344.7,197.205
107,0,-0.0254908,0.0223914,-1.68173,-620.774,3341.24,194.322
108,0,-0.0299141,0.0302021,-1.67906,-621.727,3330.72,194.137
109,0,-0.0267701,0.0221209,-1.68808,-622.983,3315.86,195.472
